Corriente I (mA);Voltaje V (v) +-0,01;;;0,31;T ambiente;297,74K
0,5;0,00031;;;;;
0,6;0,00115;;;;;
0,7;0,00229;;;;;
0,8;0,00345;;;;;
0,9;0,0046;;;;;
1,5;0,01146;;;;;
1,6;0,01261;;;;;
1,7;0,01376;;;;;
1,8;0,0149;;;;;
1,9;0,01605;;;;;
2,5;0,02291;;;;;
2,6;0,02406;;;;;
2,7;0,02521;;;;;
2,8;0,02636;;;;;
2,9;0,02751;;;;;
3,5;0,03438;;;;;
3,6;0,03553;;;;;
3,7;0,03668;;;;;
3,8;0,03783;;;;;
3,9;0,03898;;;;;
4,5;0,04585;;;;;
4,6;0,04699;;;;;
4,7;0,04814;;;;;
4,8;0,04929;;;;;
4,9;0,05044;;;;;
5,5;0,05732;;;;;
5,6;0,05847;;;;;
5,7;0,05962;;;;;
5,8;0,06078;;;;;
5,9;0,06193;;;;;
6,5;0,0688;;;;;
6,6;0,06995;;;;;
6,7;0,0711;;;;;
6,8;0,07225;;;;;
6,9;0,0534;;;;;
7,5;0,08028;;;;;
7,6;0,0812;;;;;
7,7;0,08259;;;;;
7,8;0,08375;;;;;
7,9;0,0849;;;;;
8,5;0,09177;;;;;
8,6;0,09293;;;;;
8,7;0,09468;;;;;
8,8;0,09523;;;;;
8,9;0,09639;;;;;
9,5;0,10329;;;;;
9,6;0,10445;;;;;
9,7;0,1056;;;;;
9,8;0,10676;;;;;
9,9;0,10791;;;;;
10,5;0,11486;;;;;
10,6;0,11602;;;;;
10,7;0,11717;;;;;
10,8;0,11833;;;;;
10,9;0,11948;;;;;
11,5;0,12639;V;;;;
11,6;0,12845;;;;;
11,7;0,1287;;;;;
11,8;0,12986;;;;;
11,9;0,13102;;;;;
12,5;0,13793;;;;;
12,6;0,13909;;;;;
12,7;0,14025;;;;;
12,8;0,14141;;;;;
12,9;0,14257;;;;;
13,5;0,14949;;;;;
13,6;0,15065;;;;;
13,7;0,15179;;;;;
13,8;0,15295;;;;;
13,9;0,15411;;;;;
14,5;0,16102;;;;;
14,6;0,1622;;;;;
14,7;0,16336;;;;;
14,8;0,16452;;;;;
14,9;0,16568;;;;;
15,5;0,17262;;;;;
15,6;0,17379;;;;;
15,7;0,17496;;;;;
15,8;0,17612;;;;;
15,9;0,17728;;;;;
16,5;0,18423;;;;;
16,6;0,1854;;;;;
16,7;0,18656;;;;;
16,8;0,18773;;;;;
16,9;0,1889;;;;;
17,5;0,19587;;;;;
17,6;0,19705;;;;;
17,7;0,19823;;;;;
17,8;0,1994;;;;;
17,9;0,20058;;;;;
18,5;0,20757;;;;;
18,6;0,20874;;;;;
18,7;0,20993;;;;;
18,8;0,21111;;;;;
18,9;0,2123;;;;;
19,5;0,21929;;;;;
19,6;0,22047;;;;;
19,7;0,22164;;;;;
19,8;0,22284;;;;;
19,9;0,22401;;;;;
20,5;0,23108;;;;;
20,6;0,23225;;;;;
20,7;0,23342;;;;;
20,8;0,23459;;;;;
20,9;0,23577;;;;;
21,5;0,24277;;;;;
21,6;0,24396;;;;;
21,7;0,24515;;;;;
21,8;0,24633;;;;;
21,9;0,2475;;;;;
22,5;0,25449;;;;;
22,6;0,2557;;;;;
22,7;0,25688;;;;;
22,8;0,25806;;;;;
22,9;0,25925;;;;;
23,5;0,26518;;;;;
23,6;0,26526;;;;;
23,7;0,26541;;;;;
23,8;0,26549;;;;;
23,9;0,26559;;;;;
24,5;0,26559;;;;;
